"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1638","领导奖励","testcase","Sun Feb 23 18:53:47 CST 2025","passed","Sun Feb 23 18:53:49 CST 2025","TestLogin","test_runner","",""
"","253","AIUX兑换AIU输入中文","testcase","Sun Feb 23 18:53:57 CST 2025","broken","Sun Feb 23 18:53:57 CST 2025","TestLogin","test_runner","",""
"","225","查询今日AI收益","testcase","Sun Feb 23 18:53:08 CST 2025","passed","Sun Feb 23 18:53:08 CST 2025","TestLogin","test_runner","",""
"","3","查询本人业绩和下级业绩","testcase","Sun Feb 23 18:53:55 CST 2025","broken","Sun Feb 23 18:53:55 CST 2025","TestLogin","test_runner","",""
"","1434","查询用户余额","testcase","Sun Feb 23 18:53:07 CST 2025","passed","Sun Feb 23 18:53:08 CST 2025","TestLogin","test_runner","",""
"","2592","AIU上级转账下级","testcase","Sun Feb 23 18:53:58 CST 2025","passed","Sun Feb 23 18:54:01 CST 2025","TestLogin","test_runner","",""
"","3170","查询理财日志","testcase","Sun Feb 23 18:53:13 CST 2025","passed","Sun Feb 23 18:53:16 CST 2025","TestLogin","test_runner","",""
"","291","节点奖励","testcase","Sun Feb 23 18:53:51 CST 2025","passed","Sun Feb 23 18:53:51 CST 2025","TestLogin","test_runner","",""
"","3301","获取账户金额类型列表","testcase","Sun Feb 23 18:53:52 CST 2025","passed","Sun Feb 23 18:53:55 CST 2025","TestLogin","test_runner","",""
"","245","间推奖励","testcase","Sun Feb 23 18:53:51 CST 2025","passed","Sun Feb 23 18:53:52 CST 2025","TestLogin","test_runner","",""
"","1384","登录状态查询用户信息","testcase","Sun Feb 23 18:53:05 CST 2025","passed","Sun Feb 23 18:53:07 CST 2025","TestLogin","test_runner","",""
"","265","查询公告","testcase","Sun Feb 23 18:53:09 CST 2025","passed","Sun Feb 23 18:53:09 CST 2025","TestLogin","test_runner","",""
"","192","AIU上级转账下级输入特殊字符","testcase","Sun Feb 23 18:54:04 CST 2025","failed","Sun Feb 23 18:54:04 CST 2025","TestLogin","test_runner","",""
"","23915","查询账户收入","testcase","Sun Feb 23 18:53:19 CST 2025","passed","Sun Feb 23 18:53:43 CST 2025","TestLogin","test_runner","",""
"","1543","每日回报","testcase","Sun Feb 23 18:53:44 CST 2025","passed","Sun Feb 23 18:53:46 CST 2025","TestLogin","test_runner","",""
"","405","AIU上级转账下级输入负数","testcase","Sun Feb 23 18:54:04 CST 2025","passed","Sun Feb 23 18:54:04 CST 2025","TestLogin","test_runner","",""
"","1298","提现大于余额","testcase","Sun Feb 23 18:54:06 CST 2025","passed","Sun Feb 23 18:54:07 CST 2025","TestLogin","test_runner","",""
"","190","查询待处理余额","testcase","Sun Feb 23 18:53:52 CST 2025","passed","Sun Feb 23 18:53:52 CST 2025","TestLogin","test_runner","",""
"","2","下单300套餐","testcase","Sun Feb 23 18:54:07 CST 2025","broken","Sun Feb 23 18:54:07 CST 2025","TestLogin","test_runner","",""
"","1293","查询用户账户信息","testcase","Sun Feb 23 18:53:43 CST 2025","passed","Sun Feb 23 18:53:44 CST 2025","TestLogin","test_runner","",""
"","168","AIU下级转上级","testcase","Sun Feb 23 18:54:01 CST 2025","failed","Sun Feb 23 18:54:01 CST 2025","TestLogin","test_runner","",""
"","3095","查询资产日志","testcase","Sun Feb 23 18:53:10 CST 2025","passed","Sun Feb 23 18:53:13 CST 2025","TestLogin","test_runner","",""
"","183","查询往期AI收益","testcase","Sun Feb 23 18:53:08 CST 2025","failed","Sun Feb 23 18:53:09 CST 2025","TestLogin","test_runner","",""
"","271","提现输入特殊符号","testcase","Sun Feb 23 18:54:07 CST 2025","failed","Sun Feb 23 18:54:07 CST 2025","TestLogin","test_runner","",""
"","1647","培养奖励","testcase","Sun Feb 23 18:53:49 CST 2025","passed","Sun Feb 23 18:53:51 CST 2025","TestLogin","test_runner","",""
"","206","提现小于50U","testcase","Sun Feb 23 18:54:05 CST 2025","passed","Sun Feb 23 18:54:06 CST 2025","TestLogin","test_runner","",""
"","2551","AIU无上下级关系","testcase","Sun Feb 23 18:54:01 CST 2025","passed","Sun Feb 23 18:54:04 CST 2025","TestLogin","test_runner","",""
"","180","查询套餐列表","testcase","Sun Feb 23 18:53:09 CST 2025","passed","Sun Feb 23 18:53:10 CST 2025","TestLogin","test_runner","",""
"","408","直推奖励","testcase","Sun Feb 23 18:53:51 CST 2025","passed","Sun Feb 23 18:53:51 CST 2025","TestLogin","test_runner","",""
"","1303","提现50U","testcase","Sun Feb 23 18:54:04 CST 2025","failed","Sun Feb 23 18:54:05 CST 2025","TestLogin","test_runner","",""
"","460","查询货币","testcase","Sun Feb 23 18:53:09 CST 2025","passed","Sun Feb 23 18:53:09 CST 2025","TestLogin","test_runner","",""
"","1655","社区奖励","testcase","Sun Feb 23 18:53:46 CST 2025","passed","Sun Feb 23 18:53:47 CST 2025","TestLogin","test_runner","",""
"","185","提现负数","testcase","Sun Feb 23 18:54:06 CST 2025","passed","Sun Feb 23 18:54:06 CST 2025","TestLogin","test_runner","",""
"","1388","AIUX兑换AIU正常输入","testcase","Sun Feb 23 18:53:55 CST 2025","failed","Sun Feb 23 18:53:57 CST 2025","TestLogin","test_runner","",""
"","3115","获取Aiu投资日志","testcase","Sun Feb 23 18:53:16 CST 2025","passed","Sun Feb 23 18:53:19 CST 2025","TestLogin","test_runner","",""
"","1548","用户成功登录","testcase","Sun Feb 23 18:53:04 CST 2025","passed","Sun Feb 23 18:53:05 CST 2025","TestLogin","test_runner","",""
"","1346","AIUX兑换AIU输入负数","testcase","Sun Feb 23 18:53:57 CST 2025","broken","Sun Feb 23 18:53:58 CST 2025","TestLogin","test_runner","",""
